dataset,time,obs_value,freq,age,sex,indic_il,unit,geo
ilc_di03,1995,8338.0,A,Y25-49,F,MED_E,NAC,IT
ilc_di03,1995,9844.0,A,Y25-49,F,MED_E,PPS,IT
ilc_di03,1995,9482.0,A,Y25-49,F,MEI_E,EUR,IT
ilc_di03,1995,9378.0,A,Y25-49,F,MEI_E,NAC,IT
ilc_di03,1995,11072.0,A,Y25-49,F,MEI_E,PPS,IT
ilc_di03,1995,8929.0,A,Y25-49,M,MED_E,EUR,IT
ilc_di03,1995,8831.0,A,Y25-49,M,MED_E,NAC,IT
ilc_di03,1995,10427.0,A,Y25-49,M,MED_E,PPS,IT
ilc_di03,1995,9869.0,A,Y25-49,M,MEI_E,EUR,IT
ilc_di03,1995,9761.0,A,Y25-49,M,MEI_E,NAC,IT
ilc_di03,1995,11524.0,A,Y25-49,M,MEI_E,PPS,IT
ilc_di03,1995,8616.0,A,Y25-49,T,MED_E,EUR,IT
ilc_di03,1995,8522.0,A,Y25-49,T,MED_E,NAC,IT
ilc_di03,1995,10061.0,A,Y25-49,T,MED_E,PPS,IT
ilc_di03,1995,9675.0,A,Y25-49,T,MEI_E,EUR,IT
ilc_di03,1995,9569.0,A,Y25-49,T,MEI_E,NAC,IT
ilc_di03,1995,11298.0,A,Y25-49,T,MEI_E,PPS,IT
ilc_di03,1995,8068.0,A,Y50-64,F,MED_E,EUR,IT
ilc_di03,1995,7979.0,A,Y50-64,F,MED_E,NAC,IT
ilc_di03,1995,9421.0,A,Y50-64,F,MED_E,PPS,IT
ilc_di03,1995,9140.0,A,Y50-64,F,MEI_E,EUR,IT
ilc_di03,1995,9040.0,A,Y50-64,F,MEI_E,NAC,IT
ilc_di03,1995,10673.0,A,Y50-64,F,MEI_E,PPS,IT
ilc_di03,1995,8313.0,A,Y50-64,M,MED_E,EUR,IT
ilc_di03,1995,8222.0,A,Y50-64,M,MED_E,NAC,IT
ilc_di03,1995,9707.0,A,Y50-64,M,MED_E,PPS,IT
ilc_di03,1995,9691.0,A,Y50-64,M,MEI_E,EUR,IT
ilc_di03,1995,9585.0,A,Y50-64,M,MEI_E,NAC,IT
ilc_di03,1995,11316.0,A,Y50-64,M,MEI_E,PPS,IT
ilc_di03,1995,8146.0,A,Y50-64,T,MED_E,EUR,IT
ilc_di03,1995,8057.0,A,Y50-64,T,MED_E,NAC,IT
ilc_di03,1995,9512.0,A,Y50-64,T,MED_E,PPS,IT
ilc_di03,1995,9408.0,A,Y50-64,T,MEI_E,EUR,IT
ilc_di03,1995,9305.0,A,Y50-64,T,MEI_E,NAC,IT
ilc_di03,1995,10986.0,A,Y50-64,T,MEI_E,PPS,IT
ilc_di03,1995,6863.0,A,Y6-10,F,MED_E,EUR,IT
ilc_di03,1995,6788.0,A,Y6-10,F,MED_E,NAC,IT
ilc_di03,1995,8014.0,A,Y6-10,F,MED_E,PPS,IT
ilc_di03,1995,8188.0,A,Y6-10,F,MEI_E,EUR,IT
ilc_di03,1995,8098.0,A,Y6-10,F,MEI_E,NAC,IT
ilc_di03,1995,9561.0,A,Y6-10,F,MEI_E,PPS,IT
ilc_di03,1995,7400.0,A,Y6-10,M,MED_E,EUR,IT
ilc_di03,1995,7319.0,A,Y6-10,M,MED_E,NAC,IT
ilc_di03,1995,8641.0,A,Y6-10,M,MED_E,PPS,IT
ilc_di03,1995,8233.0,A,Y6-10,M,MEI_E,EUR,IT
ilc_di03,1995,8143.0,A,Y6-10,M,MEI_E,NAC,IT
ilc_di03,1995,9614.0,A,Y6-10,M,MEI_E,PPS,IT
ilc_di03,1995,7186.0,A,Y6-10,T,MED_E,EUR,IT
ilc_di03,1995,7107.0,A,Y6-10,T,MED_E,NAC,IT
ilc_di03,1995,8391.0,A,Y6-10,T,MED_E,PPS,IT
ilc_di03,1995,8212.0,A,Y6-10,T,MEI_E,EUR,IT
ilc_di03,1995,8122.0,A,Y6-10,T,MEI_E,NAC,IT
ilc_di03,1995,9589.0,A,Y6-10,T,MEI_E,PPS,IT
ilc_di03,1995,7102.0,A,Y65-74,F,MED_E,EUR,IT
ilc_di03,1995,7024.0,A,Y65-74,F,MED_E,NAC,IT
ilc_di03,1995,8293.0,A,Y65-74,F,MED_E,PPS,IT
ilc_di03,1995,8379.0,A,Y65-74,F,MEI_E,EUR,IT
ilc_di03,1995,8287.0,A,Y65-74,F,MEI_E,NAC,IT
ilc_di03,1995,9784.0,A,Y65-74,F,MEI_E,PPS,IT
ilc_di03,1995,7457.0,A,Y65-74,M,MED_E,EUR,IT
ilc_di03,1995,7375.0,A,Y65-74,M,MED_E,NAC,IT
ilc_di03,1995,8707.0,A,Y65-74,M,MED_E,PPS,IT
ilc_di03,1995,9071.0,A,Y65-74,M,MEI_E,EUR,IT
ilc_di03,1995,8971.0,A,Y65-74,M,MEI_E,NAC,IT
ilc_di03,1995,10592.0,A,Y65-74,M,MEI_E,PPS,IT
ilc_di03,1995,7206.0,A,Y65-74,T,MED_E,EUR,IT
ilc_di03,1995,7127.0,A,Y65-74,T,MED_E,NAC,IT
ilc_di03,1995,8415.0,A,Y65-74,T,MED_E,PPS,IT
ilc_di03,1995,8685.0,A,Y65-74,T,MEI_E,EUR,IT
ilc_di03,1995,8589.0,A,Y65-74,T,MEI_E,NAC,IT
ilc_di03,1995,10141.0,A,Y65-74,T,MEI_E,PPS,IT
ilc_di03,1995,7603.0,A,Y_GE16,F,MED_E,EUR,IT
ilc_di03,1995,7520.0,A,Y_GE16,F,MED_E,NAC,IT
ilc_di03,1995,8878.0,A,Y_GE16,F,MED_E,PPS,IT
ilc_di03,1995,8832.0,A,Y_GE16,F,MEI_E,EUR,IT
ilc_di03,1995,8735.0,A,Y_GE16,F,MEI_E,NAC,IT
ilc_di03,1995,10313.0,A,Y_GE16,F,MEI_E,PPS,IT
ilc_di03,1995,8056.0,A,Y_GE16,M,MED_E,EUR,IT
ilc_di03,1995,7968.0,A,Y_GE16,M,MED_E,NAC,IT
ilc_di03,1995,9408.0,A,Y_GE16,M,MED_E,PPS,IT
ilc_di03,1995,9293.0,A,Y_GE16,M,MEI_E,EUR,IT
ilc_di03,1995,9191.0,A,Y_GE16,M,MEI_E,NAC,IT
ilc_di03,1995,10852.0,A,Y_GE16,M,MEI_E,PPS,IT
ilc_di03,1995,7820.0,A,Y_GE16,T,MED_E,EUR,IT
ilc_di03,1995,7734.0,A,Y_GE16,T,MED_E,NAC,IT
ilc_di03,1995,9131.0,A,Y_GE16,T,MED_E,PPS,IT
ilc_di03,1995,9053.0,A,Y_GE16,T,MEI_E,EUR,IT
ilc_di03,1995,8954.0,A,Y_GE16,T,MEI_E,NAC,IT
ilc_di03,1995,10572.0,A,Y_GE16,T,MEI_E,PPS,IT
ilc_di03,1995,6893.0,A,Y_GE65,F,MED_E,EUR,IT
ilc_di03,1995,6817.0,A,Y_GE65,F,MED_E,NAC,IT
ilc_di03,1995,8049.0,A,Y_GE65,F,MED_E,PPS,IT
ilc_di03,1995,8116.0,A,Y_GE65,F,MEI_E,EUR,IT
ilc_di03,1995,8027.0,A,Y_GE65,F,MEI_E,NAC,IT
ilc_di03,1995,9478.0,A,Y_GE65,F,MEI_E,PPS,IT
ilc_di03,1995,7213.0,A,Y_GE65,M,MED_E,EUR,IT
ilc_di03,1995,7134.0,A,Y_GE65,M,MED_E,NAC,IT
ilc_di03,1995,8422.0,A,Y_GE65,M,MED_E,PPS,IT
ilc_di03,1995,8778.0,A,Y_GE65,M,MEI_E,EUR,IT
ilc_di03,1995,8682.0,A,Y_GE65,M,MEI_E,NAC,IT
ilc_di03,1995,10250.0,A,Y_GE65,M,MEI_E,PPS,IT
ilc_di03,1995,7094.0,A,Y_GE65,T,MED_E,EUR,IT
ilc_di03,1995,7016.0,A,Y_GE65,T,MED_E,NAC,IT
ilc_di03,1995,8283.0,A,Y_GE65,T,MED_E,PPS,IT
ilc_di03,1995,8389.0,A,Y_GE65,T,MEI_E,EUR,IT
ilc_di03,1995,8297.0,A,Y_GE65,T,MEI_E,NAC,IT
ilc_di03,1995,9796.0,A,Y_GE65,T,MEI_E,PPS,IT
ilc_di03,1995,6893.0,A,Y_GE75,F,MED_E,EUR,IT
ilc_di03,1995,6817.0,A,Y_GE75,F,MED_E,NAC,IT
ilc_di03,1995,8049.0,A,Y_GE75,F,MED_E,PPS,IT
ilc_di03,1995,7997.0,A,Y_GE75,F,MEI_E,EUR,IT
ilc_di03,1995,7909.0,A,Y_GE75,F,MEI_E,NAC,IT
ilc_di03,1995,9338.0,A,Y_GE75,F,MEI_E,PPS,IT
ilc_di03,1995,7102.0,A,Y_GE75,M,MED_E,EUR,IT
ilc_di03,1995,7024.0,A,Y_GE75,M,MED_E,NAC,IT
ilc_di03,1995,8293.0,A,Y_GE75,M,MED_E,PPS,IT
ilc_di03,1995,8617.0,A,Y_GE75,M,MEI_E,EUR,IT
ilc_di03,1995,8522.0,A,Y_GE75,M,MEI_E,NAC,IT
ilc_di03,1995,10062.0,A,Y_GE75,M,MEI_E,PPS,IT
ilc_di03,1995,6893.0,A,Y_GE75,T,MED_E,EUR,IT
ilc_di03,1995,6817.0,A,Y_GE75,T,MED_E,NAC,IT
ilc_di03,1995,8049.0,A,Y_GE75,T,MED_E,PPS,IT
ilc_di03,1995,8243.0,A,Y_GE75,T,MEI_E,EUR,IT
ilc_di03,1995,8152.0,A,Y_GE75,T,MEI_E,NAC,IT
ilc_di03,1995,9625.0,A,Y_GE75,T,MEI_E,PPS,IT
ilc_di03,1995,7012.0,A,Y_LT16,F,MED_E,EUR,IT
ilc_di03,1995,6935.0,A,Y_LT16,F,MED_E,NAC,IT
ilc_di03,1995,8188.0,A,Y_LT16,F,MED_E,PPS,IT
ilc_di03,1995,8186.0,A,Y_LT16,F,MEI_E,EUR,IT
ilc_di03,1995,8097.0,A,Y_LT16,F,MEI_E,NAC,IT
ilc_di03,1995,9559.0,A,Y_LT16,F,MEI_E,PPS,IT
ilc_di03,1995,7107.0,A,Y_LT16,M,MED_E,EUR,IT
ilc_di03,1995,7030.0,A,Y_LT16,M,MED_E,NAC,IT
ilc_di03,1995,8299.0,A,Y_LT16,M,MED_E,PPS,IT
ilc_di03,1995,8094.0,A,Y_LT16,M,MEI_E,EUR,IT
ilc_di03,1995,8006.0,A,Y_LT16,M,MEI_E,NAC,IT
ilc_di03,1995,9452.0,A,Y_LT16,M,MEI_E,PPS,IT
ilc_di03,1995,7090.0,A,Y_LT16,T,MED_E,EUR,IT
ilc_di03,1995,7012.0,A,Y_LT16,T,MED_E,NAC,IT
ilc_di03,1995,8279.0,A,Y_LT16,T,MED_E,PPS,IT
ilc_di03,1995,8139.0,A,Y_LT16,T,MEI_E,EUR,IT
ilc_di03,1995,8050.0,A,Y_LT16,T,MEI_E,NAC,IT
ilc_di03,1995,9504.0,A,Y_LT16,T,MEI_E,PPS,IT
ilc_di03,1995,7398.0,A,Y_LT6,F,MED_E,EUR,IT
ilc_di03,1995,7316.0,A,Y_LT6,F,MED_E,NAC,IT
ilc_di03,1995,8638.0,A,Y_LT6,F,MED_E,PPS,IT
ilc_di03,1995,8645.0,A,Y_LT6,F,MEI_E,EUR,IT
ilc_di03,1995,8550.0,A,Y_LT6,F,MEI_E,NAC,IT
ilc_di03,1995,10095.0,A,Y_LT6,F,MEI_E,PPS,IT
ilc_di03,1995,7180.0,A,Y_LT6,M,MED_E,EUR,IT
ilc_di03,1995,7101.0,A,Y_LT6,M,MED_E,NAC,IT
ilc_di03,1995,8384.0,A,Y_LT6,M,MED_E,PPS,IT
ilc_di03,1995,8401.0,A,Y_LT6,M,MEI_E,EUR,IT
ilc_di03,1995,8309.0,A,Y_LT6,M,MEI_E,NAC,IT
ilc_di03,1995,9810.0,A,Y_LT6,M,MEI_E,PPS,IT
ilc_di03,1995,7288.0,A,Y_LT6,T,MED_E,EUR,IT
ilc_di03,1995,7208.0,A,Y_LT6,T,MED_E,NAC,IT
ilc_di03,1995,8510.0,A,Y_LT6,T,MED_E,PPS,IT
ilc_di03,1995,8516.0,A,Y_LT6,T,MEI_E,EUR,IT
ilc_di03,1995,8422.0,A,Y_LT6,T,MEI_E,NAC,IT
ilc_di03,1995,9944.0,A,Y_LT6,T,MEI_E,PPS,IT
ilc_di03,1995,7767.0,A,Y_LT65,F,MED_E,EUR,IT
ilc_di03,1995,7682.0,A,Y_LT65,F,MED_E,NAC,IT
ilc_di03,1995,9070.0,A,Y_LT65,F,MED_E,PPS,IT
ilc_di03,1995,8874.0,A,Y_LT65,F,MEI_E,EUR,IT
ilc_di03,1995,8777.0,A,Y_LT65,F,MEI_E,NAC,IT
ilc_di03,1995,10362.0,A,Y_LT65,F,MEI_E,PPS,IT
ilc_di03,1995,8037.0,A,Y_LT65,M,MED_E,EUR,IT
ilc_di03,1995,7949.0,A,Y_LT65,M,MED_E,NAC,IT
ilc_di03,1995,9385.0,A,Y_LT65,M,MED_E,PPS,IT
ilc_di03,1995,9148.0,A,Y_LT65,M,MEI_E,EUR,IT
ilc_di03,1995,9048.0,A,Y_LT65,M,MEI_E,NAC,IT
ilc_di03,1995,10682.0,A,Y_LT65,M,MEI_E,PPS,IT
ilc_di03,1995,7907.0,A,Y_LT65,T,MED_E,EUR,IT
ilc_di03,1995,7821.0,A,Y_LT65,T,MED_E,NAC,IT
ilc_di03,1995,9233.0,A,Y_LT65,T,MED_E,PPS,IT
ilc_di03,1995,9011.0,A,Y_LT65,T,MEI_E,EUR,IT
ilc_di03,1995,8912.0,A,Y_LT65,T,MEI_E,NAC,IT
ilc_di03,1995,10522.0,A,Y_LT65,T,MEI_E,PPS,IT
ilc_di03,1995,7688.0,A,Y_LT75,F,MED_E,EUR,IT
ilc_di03,1995,7603.0,A,Y_LT75,F,MED_E,NAC,IT
ilc_di03,1995,8977.0,A,Y_LT75,F,MED_E,PPS,IT
ilc_di03,1995,8842.0,A,Y_LT75,F,MEI_E,EUR,IT
ilc_di03,1995,8745.0,A,Y_LT75,F,MEI_E,NAC,IT
ilc_di03,1995,10325.0,A,Y_LT75,F,MEI_E,PPS,IT
ilc_di03,1995,8007.0,A,Y_LT75,M,MED_E,EUR,IT
ilc_di03,1995,7919.0,A,Y_LT75,M,MED_E,NAC,IT
ilc_di03,1995,9350.0,A,Y_LT75,M,MED_E,PPS,IT
ilc_di03,1995,9144.0,A,Y_LT75,M,MEI_E,EUR,IT
ilc_di03,1995,9044.0,A,Y_LT75,M,MEI_E,NAC,IT
ilc_di03,1995,10677.0,A,Y_LT75,M,MEI_E,PPS,IT
ilc_di03,1995,7854.0,A,Y_LT75,T,MED_E,EUR,IT
ilc_di03,1995,7768.0,A,Y_LT75,T,MED_E,NAC,IT
ilc_di03,1995,9171.0,A,Y_LT75,T,MED_E,PPS,IT
ilc_di03,1995,8992.0,A,Y_LT75,T,MEI_E,EUR,IT
ilc_di03,1995,8893.0,A,Y_LT75,T,MEI_E,NAC,IT
ilc_di03,1995,10500.0,A,Y_LT75,T,MEI_E,PPS,IT
ilc_di03,1996,12499.0,A,TOTAL,F,MED_E,EUR,FI
ilc_di03,1996,7214.0,A,TOTAL,F,MED_E,EUR,IT
ilc_di03,1996,12001.0,A,TOTAL,F,MED_E,NAC,FI
ilc_di03,1996,7936.0,A,TOTAL,F,MED_E,NAC,IT
ilc_di03,1996,10176.0,A,TOTAL,F,MED_E,PPS,FI
ilc_di03,1996,9061.0,A,TOTAL,F,MED_E,PPS,IT
ilc_di03,1996,13603.0,A,TOTAL,F,MEI_E,EUR,FI
ilc_di03,1996,8161.0,A,TOTAL,F,MEI_E,EUR,IT
ilc_di03,1996,13061.0,A,TOTAL,F,MEI_E,NAC,FI
ilc_di03,1996,8978.0,A,TOTAL,F,MEI_E,NAC,IT
ilc_di03,1996,11075.0,A,TOTAL,F,MEI_E,PPS,FI
ilc_di03,1996,10250.0,A,TOTAL,F,MEI_E,PPS,IT
ilc_di03,1996,13058.0,A,TOTAL,M,MED_E,EUR,FI
ilc_di03,1996,7586.0,A,TOTAL,M,MED_E,EUR,IT
ilc_di03,1996,12537.0,A,TOTAL,M,MED_E,NAC,FI
ilc_di03,1996,8346.0,A,TOTAL,M,MED_E,NAC,IT
ilc_di03,1996,10631.0,A,TOTAL,M,MED_E,PPS,FI
ilc_di03,1996,9528.0,A,TOTAL,M,MED_E,PPS,IT
ilc_di03,1996,14265.0,A,TOTAL,M,MEI_E,EUR,FI
ilc_di03,1996,8555.0,A,TOTAL,M,MEI_E,EUR,IT
ilc_di03,1996,13696.0,A,TOTAL,M,MEI_E,NAC,FI
ilc_di03,1996,9412.0,A,TOTAL,M,MEI_E,NAC,IT
ilc_di03,1996,11614.0,A,TOTAL,M,MEI_E,PPS,FI
ilc_di03,1996,10745.0,A,TOTAL,M,MEI_E,PPS,IT
ilc_di03,1996,12792.0,A,TOTAL,T,MED_E,EUR,FI
ilc_di03,1996,7355.0,A,TOTAL,T,MED_E,EUR,IT
ilc_di03,1996,12282.0,A,TOTAL,T,MED_E,NAC,FI
ilc_di03,1996,8091.0,A,TOTAL,T,MED_E,NAC,IT
ilc_di03,1996,10414.0,A,TOTAL,T,MED_E,PPS,FI
ilc_di03,1996,9237.0,A,TOTAL,T,MED_E,PPS,IT
ilc_di03,1996,13926.0,A,TOTAL,T,MEI_E,EUR,FI
ilc_di03,1996,8352.0,A,TOTAL,T,MEI_E,EUR,IT
ilc_di03,1996,13371.0,A,TOTAL,T,MEI_E,NAC,FI
ilc_di03,1996,9188.0,A,TOTAL,T,MEI_E,NAC,IT
ilc_di03,1996,11337.0,A,TOTAL,T,MEI_E,PPS,FI
ilc_di03,1996,10490.0,A,TOTAL,T,MEI_E,PPS,IT
ilc_di03,1996,12652.0,A,Y11-15,F,MED_E,EUR,FI
ilc_di03,1996,6235.0,A,Y11-15,F,MED_E,EUR,IT
ilc_di03,1996,12147.0,A,Y11-15,F,MED_E,NAC,FI
ilc_di03,1996,6859.0,A,Y11-15,F,MED_E,NAC,IT
ilc_di03,1996,10300.0,A,Y11-15,F,MED_E,PPS,FI
ilc_di03,1996,7831.0,A,Y11-15,F,MED_E,PPS,IT
ilc_di03,1996,13406.0,A,Y11-15,F,MEI_E,EUR,FI
ilc_di03,1996,7099.0,A,Y11-15,F,MEI_E,EUR,IT
ilc_di03,1996,12871.0,A,Y11-15,F,MEI_E,NAC,FI
ilc_di03,1996,7809.0,A,Y11-15,F,MEI_E,NAC,IT
ilc_di03,1996,10914.0,A,Y11-15,F,MEI_E,PPS,FI
ilc_di03,1996,8916.0,A,Y11-15,F,MEI_E,PPS,IT
ilc_di03,1996,12621.0,A,Y11-15,M,MED_E,EUR,FI
ilc_di03,1996,6377.0,A,Y11-15,M,MED_E,EUR,IT
ilc_di03,1996,12117.0,A,Y11-15,M,MED_E,NAC,FI
ilc_di03,1996,7015.0,A,Y11-15,M,MED_E,NAC,IT
ilc_di03,1996,10275.0,A,Y11-15,M,MED_E,PPS,FI
ilc_di03,1996,8009.0,A,Y11-15,M,MED_E,PPS,IT
ilc_di03,1996,13804.0,A,Y11-15,M,MEI_E,EUR,FI
ilc_di03,1996,7167.0,A,Y11-15,M,MEI_E,EUR,IT
ilc_di03,1996,13253.0,A,Y11-15,M,MEI_E,NAC,FI
ilc_di03,1996,7885.0,A,Y11-15,M,MEI_E,NAC,IT
ilc_di03,1996,11238.0,A,Y11-15,M,MEI_E,PPS,FI
ilc_di03,1996,9002.0,A,Y11-15,M,MEI_E,PPS,IT
ilc_di03,1996,12642.0,A,Y11-15,T,MED_E,EUR,FI
ilc_di03,1996,6259.0,A,Y11-15,T,MED_E,EUR,IT
ilc_di03,1996,12138.0,A,Y11-15,T,MED_E,NAC,FI
ilc_di03,1996,6886.0,A,Y11-15,T,MED_E,NAC,IT
ilc_di03,1996,10292.0,A,Y11-15,T,MED_E,PPS,FI
ilc_di03,1996,7862.0,A,Y11-15,T,MED_E,PPS,IT
ilc_di03,1996,13610.0,A,Y11-15,T,MEI_E,EUR,FI
ilc_di03,1996,7132.0,A,Y11-15,T,MEI_E,EUR,IT
ilc_di03,1996,13067.0,A,Y11-15,T,MEI_E,NAC,FI
ilc_di03,1996,7846.0,A,Y11-15,T,MEI_E,NAC,IT
ilc_di03,1996,11080.0,A,Y11-15,T,MEI_E,PPS,FI
ilc_di03,1996,8957.0,A,Y11-15,T,MEI_E,PPS,IT
ilc_di03,1996,10998.0,A,Y16-24,F,MED_E,EUR,FI
ilc_di03,1996,6197.0,A,Y16-24,F,MED_E,EUR,IT
ilc_di03,1996,10559.0,A,Y16-24,F,MED_E,NAC,FI
ilc_di03,1996,6817.0,A,Y16-24,F,MED_E,NAC,IT
ilc_di03,1996,8953.0,A,Y16-24,F,MED_E,PPS,FI
ilc_di03,1996,7783.0,A,Y16-24,F,MED_E,PPS,IT
ilc_di03,1996,11598.0,A,Y16-24,F,MEI_E,EUR,FI
ilc_di03,1996,6920.0,A,Y16-24,F,MEI_E,EUR,IT
ilc_di03,1996,11135.0,A,Y16-24,F,MEI_E,NAC,FI
ilc_di03,1996,7612.0,A,Y16-24,F,MEI_E,NAC,IT
ilc_di03,1996,9442.0,A,Y16-24,F,MEI_E,PPS,FI
ilc_di03,1996,8691.0,A,Y16-24,F,MEI_E,PPS,IT
ilc_di03,1996,11622.0,A,Y16-24,M,MED_E,EUR,FI
ilc_di03,1996,6572.0,A,Y16-24,M,MED_E,EUR,IT
ilc_di03,1996,11158.0,A,Y16-24,M,MED_E,NAC,FI
ilc_di03,1996,7230.0,A,Y16-24,M,MED_E,NAC,IT
ilc_di03,1996,9461.0,A,Y16-24,M,MED_E,PPS,FI
ilc_di03,1996,8255.0,A,Y16-24,M,MED_E,PPS,IT
ilc_di03,1996,12174.0,A,Y16-24,M,MEI_E,EUR,FI
ilc_di03,1996,7254.0,A,Y16-24,M,MEI_E,EUR,IT
ilc_di03,1996,11688.0,A,Y16-24,M,MEI_E,NAC,FI
ilc_di03,1996,7980.0,A,Y16-24,M,MEI_E,NAC,IT
ilc_di03,1996,9911.0,A,Y16-24,M,MEI_E,PPS,FI
ilc_di03,1996,9110.0,A,Y16-24,M,MEI_E,PPS,IT
ilc_di03,1996,11409.0,A,Y16-24,T,MED_E,EUR,FI
ilc_di03,1996,6403.0,A,Y16-24,T,MED_E,EUR,IT
