dataset,time,obs_value,freq,nace_r2,age,sex,unit,geo
lfst_r_lfe2en2,2008,89.9,A,B-E,Y15-24,F,THS_PER,IT
lfst_r_lfe2en2,2008,16.7,A,B-E,Y15-24,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,34.6,A,B-E,Y15-24,M,THS_PER,FI
lfst_r_lfe2en2,2008,5.1,A,B-E,Y15-24,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,251.6,A,B-E,Y15-24,M,THS_PER,IT
lfst_r_lfe2en2,2008,31.8,A,B-E,Y15-24,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,45.5,A,B-E,Y15-24,T,THS_PER,FI
lfst_r_lfe2en2,2008,7.5,A,B-E,Y15-24,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,341.5,A,B-E,Y15-24,T,THS_PER,IT
lfst_r_lfe2en2,2008,48.5,A,B-E,Y15-24,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,112.5,A,B-E,Y15-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,27.2,A,B-E,Y15-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,1351.9,A,B-E,Y15-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,204.3,A,B-E,Y15-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,332.5,A,B-E,Y15-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,64.1,A,B-E,Y15-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3520.1,A,B-E,Y15-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,452.2,A,B-E,Y15-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,445.0,A,B-E,Y15-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,91.3,A,B-E,Y15-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,4872.0,A,B-E,Y15-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,656.5,A,B-E,Y15-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,113.0,A,B-E,Y15-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,27.2,A,B-E,Y15-74,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,1360.1,A,B-E,Y15-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,204.8,A,B-E,Y15-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,334.7,A,B-E,Y15-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,64.5,A,B-E,Y15-74,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3561.7,A,B-E,Y15-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,459.0,A,B-E,Y15-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,447.8,A,B-E,Y15-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,91.7,A,B-E,Y15-74,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,4921.8,A,B-E,Y15-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,663.8,A,B-E,Y15-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,101.6,A,B-E,Y25-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,24.8,A,B-E,Y25-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,1261.9,A,B-E,Y25-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,187.6,A,B-E,Y25-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,297.9,A,B-E,Y25-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,59.0,A,B-E,Y25-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3268.5,A,B-E,Y25-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,420.4,A,B-E,Y25-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,399.5,A,B-E,Y25-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,83.8,A,B-E,Y25-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,4530.5,A,B-E,Y25-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,608.0,A,B-E,Y25-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,8.2,A,B-E,Y65-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,2.3,A,B-E,Y65-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,41.6,A,B-E,Y65-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,6.7,A,B-E,Y65-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,2.8,A,B-E,Y65-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,49.8,A,B-E,Y65-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,7.3,A,B-E,Y65-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,113.0,A,B-E,Y_GE15,F,THS_PER,FI
lfst_r_lfe2en2,2008,27.2,A,B-E,Y_GE15,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,1360.8,A,B-E,Y_GE15,F,THS_PER,IT
lfst_r_lfe2en2,2008,204.8,A,B-E,Y_GE15,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,334.7,A,B-E,Y_GE15,M,THS_PER,FI
