gross_italy,net_annual_italy,net_monthly_italy,fi_gross_nominal_parity,fi_net_at_nominal,nominal_gross_uplift,nominal_gross_uplift_pct,fi_gross_ppp_parity,fi_net_at_ppp,fi_ppp_adj_at_parity,ppp_gross_uplift,ppp_gross_uplift_pct
82000.0,49804.59,4150.38,79715,49804.55,-2285.0,-2.8,101314,60811.48,49804.65,19314.0,23.6
83000.0,50322.21,4193.52,80671,50322.41,-2329.0,-2.8,102714,61443.46,50322.24,19714.0,23.8
84000.0,50839.83,4236.65,81626,50839.74,-2374.0,-2.8,104115,62075.9,50840.21,20115.0,23.9
85000.0,51357.44,4279.79,82582,51357.61,-2418.0,-2.8,105515,62707.89,51357.81,20515.0,24.1
86000.0,51875.06,4322.92,83536,51874.4,-2464.0,-2.9,106915,63339.88,51875.41,20915.0,24.3
87000.0,52392.68,4366.06,84493,52392.81,-2507.0,-2.9,108313,63970.96,52392.27,21313.0,24.5
88000.0,52910.3,4409.19,85448,52910.13,-2552.0,-2.9,109714,64603.4,52910.24,21714.0,24.7
89000.0,53427.91,4452.33,86404,53428.0,-2596.0,-2.9,111114,65235.39,53427.84,22114.0,24.8
90000.0,53945.53,4495.46,87359,53945.33,-2641.0,-2.9,112514,65867.37,53945.43,22514.0,25.0
91000.0,54463.15,4538.6,88316,54463.74,-2684.0,-2.9,113915,66499.81,54463.4,22915.0,25.2
92000.0,54980.76,4581.73,89270,54980.52,-2730.0,-3.0,115315,67131.8,54981.0,23315.0,25.3
93000.0,55498.38,4624.86,90226,55498.39,-2774.0,-3.0,116715,67763.79,55498.6,23715.0,25.5
94000.0,56016.0,4668.0,91181,56015.72,-2819.0,-3.0,118113,68394.87,56015.45,24113.0,25.7
95000.0,56533.62,4711.14,92137,56533.59,-2863.0,-3.0,119514,69027.31,56533.42,24514.0,25.8
96000.0,57051.23,4754.27,93093,57051.45,-2907.0,-3.0,120914,69659.3,57051.02,24914.0,26.0
97000.0,57568.85,4797.4,94130,57568.48,-2870.0,-3.0,122314,70291.28,57568.62,25314.0,26.1
98000.0,58086.47,4840.54,95278,58086.71,-2722.0,-2.8,123715,70923.72,58086.58,25715.0,26.2
99000.0,58604.08,4883.67,96424,58604.03,-2576.0,-2.6,125115,71555.71,58604.19,26115.0,26.4
100000.0,59121.7,4926.81,97570,59121.36,-2430.0,-2.4,126515,72187.7,59121.79,26515.0,26.5
101000.0,59639.32,4969.94,98718,59639.59,-2282.0,-2.3,127915,72819.69,59639.39,26915.0,26.6
102000.0,60156.93,5013.08,99864,60156.92,-2136.0,-2.1,129316,73452.12,60157.35,27316.0,26.8
103000.0,60674.55,5056.21,101010,60674.24,-1990.0,-1.9,130716,74084.11,60674.95,27716.0,26.9
104000.0,61192.17,5099.35,102158,61192.47,-1842.0,-1.8,132116,74716.1,61192.55,28116.0,27.0
105000.0,61709.78,5142.48,103304,61709.8,-1696.0,-1.6,133514,75347.18,61709.4,28514.0,27.2
106000.0,62227.4,5185.62,104450,62227.13,-1550.0,-1.5,134915,75979.62,62227.37,28915.0,27.3
107000.0,62745.02,5228.75,105598,62745.36,-1402.0,-1.3,136315,76611.61,62744.97,29315.0,27.4
108000.0,63262.64,5271.89,106744,63262.68,-1256.0,-1.2,137715,77243.6,63262.57,29715.0,27.5
109000.0,63780.25,5315.02,107892,63780.91,-1108.0,-1.0,139116,77876.04,63780.54,30116.0,27.6
110000.0,64297.87,5358.16,109037,64297.79,-963.0,-0.9,140516,78508.02,64298.13,30516.0,27.7
111000.0,64815.49,5401.29,110183,64815.11,-817.0,-0.7,141914,79139.11,64815.0,30914.0,27.9
112000.0,65333.1,5444.42,111331,65333.34,-669.0,-0.6,143314,79771.09,65332.59,31314.0,28.0
113000.0,65850.72,5487.56,112477,65850.67,-523.0,-0.5,144715,80403.53,65850.56,31715.0,28.1
114000.0,66368.34,5530.7,113623,66368.0,-377.0,-0.3,146115,81035.52,66368.16,32115.0,28.2
115000.0,66885.96,5573.83,114771,66886.23,-229.0,-0.2,147515,81667.51,66885.76,32515.0,28.3
116000.0,67403.57,5616.96,115917,67403.55,-83.0,-0.1,148916,82299.95,67403.73,32916.0,28.4
117000.0,67921.19,5660.1,117063,67920.88,63.0,0.1,150316,82931.93,67921.32,33316.0,28.5
118000.0,68438.81,5703.23,118211,68439.11,211.0,0.2,151716,83563.92,68438.92,33716.0,28.6
119000.0,68956.42,5746.37,119357,68956.44,357.0,0.3,153116,84195.91,68956.52,34116.0,28.7
120000.0,69474.04,5789.5,120503,69473.76,503.0,0.4,154517,84828.35,69474.49,34517.0,28.8
