category,item,price_eur_padova,price_eur_helsinki,diff_eur,diff_pct,cheaper_in,price_low_padova,price_high_padova,price_low_helsinki,price_high_helsinki,scraped_at
Clothing,Summer Dress in a Chain Store (e.g. Zara or H&M),38.2,36.77,-1.43,-3.7,Helsinki,25.0,50.0,20.0,60.0,2026-04-14
Restaurants,Nike Running Shoes (Mid-Range),104.61,96.21,-8.4,-8.0,Helsinki,60.0,150.0,60.0,125.0,2026-04-14
Clothing,Men's Leather Business Shoes,104.92,131.84,26.92,25.7,Padova,70.0,160.0,59.95,200.0,2026-04-14
Other,1 Bedroom Apartment in City Centre,935.8,1077.64,141.84,15.2,Padova,750.0,1200.0,900.0,1300.0,2026-04-14
Other,1 Bedroom Apartment Outside of City Centre,717.82,782.0,64.18,8.9,Padova,600.0,1000.0,650.0,1100.0,2026-04-14
Other,3 Bedroom Apartment in City Centre,1490.91,1907.6,416.69,27.9,Padova,1200.0,2400.0,1500.0,2600.0,2026-04-14
Other,3 Bedroom Apartment Outside of City Centre,1105.45,1392.23,286.78,25.9,Padova,900.0,1500.0,1200.0,1800.0,2026-04-14
Markets,Price per Square Feet to Buy Apartment in City Centre,341.32,771.12,429.8,125.9,Padova,306.58,390.19,595.32,929.02,2026-04-14
Markets,Price per Square Feet to Buy Apartment Outside of Centre,191.3,392.3,201.0,105.1,Padova,161.66,232.26,318.84,557.41,2026-04-14
Salaries,Average Monthly Net Salary (After Tax),1724.68,2718.26,993.58,57.6,Padova,,,,,2026-04-14
Mortgages,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",3.22,3.91,0.69,21.4,Padova,2.5,5.0,2.5,5.3,2026-04-14
